组合,出现次数,占比(%)
甘 & 辛,60,27.78
辛 & 辛,46,21.3
苦 & 辛,32,14.81
甘 & 苦,32,14.81
甘 & 甘,28,12.96
苦 & 苦,8,3.7
甘 & 酸,4,1.85
辛 & 酸,4,1.85
苦 & 酸,2,0.93
