组合,出现次数,占比(%)
苦 & 苦,48,29.63
甘 & 苦,38,23.46
甘 & 甘,20,12.35
苦 & 辛,18,11.11
甘 & 辛,14,8.64
辛 & 辛,8,4.94
咸 & 甘,8,4.94
咸 & 苦,4,2.47
苦 & 酸,2,1.23
辛 & 酸,2,1.23
