组合,出现次数,占比(%)
苦 & 辛,64,23.88
甘 & 辛,42,15.67
甘 & 苦,42,15.67
苦 & 苦,34,12.69
辛 & 辛,34,12.69
甘 & 甘,12,4.48
苦 & 酸,12,3.73
辛 & 酸,8,2.99
甘 & 酸,8,2.24
咸 & 苦,4,1.49
咸 & 甘,4,1.49
咸 & 辛,2,0.75
酸 & 酸,2,0.75
