药对索引,药对,中药1_中药材名称,中药1_性,中药1_味,中药1_归经,中药2_中药材名称,中药2_性,中药2_味,中药2_归经
96,肉桂 麻黄,肉桂,热,"辛,甘","肾,脾,心,肝",麻黄,温,"辛,苦","肺,膀胱"
97,石菖蒲 肉桂,石菖蒲,温,"辛,苦","心,胃",肉桂,热,"辛,甘","肾,脾,心,肝"
98,小茴香 草乌,小茴香,温,辛,"肝,肾,脾,胃",草乌,热,"辛,苦","心,肝,肾,脾"
99,杜仲 补骨脂,杜仲,温,甘,"肝,肾",补骨脂,温,"辛,苦","肾,脾"
100,五味子 杜仲,五味子,温,"酸,甘","肺,心,肾",杜仲,温,甘,"肝,肾"
101,菟丝子 杜仲,菟丝子,平,"辛,甘","肝,肾,脾",杜仲,温,甘,"肝,肾"
102,菟丝子 巴戟天,菟丝子,平,"辛,甘","肝,肾,脾",巴戟天,温,"甘,辛","肾,肝"
103,五味子 菟丝子,五味子,温,"酸,甘","肺,心,肾",菟丝子,平,"辛,甘","肝,肾,脾"
104,菟丝子 枸杞子,菟丝子,平,"辛,甘","肝,肾,脾",枸杞子,平,甘,"肝,肾"
105,吴茱萸 桂枝,吴茱萸,热,"辛,苦","肝,脾,胃,肾",桂枝,温,"辛,甘","心,肺,膀胱"
106,附子 当归,附子,热,"辛,甘","心,肾,脾",当归,温,"甘,辛","肝,心,脾"
107,吴茱萸 人参,吴茱萸,热,"辛,苦","肝,脾,胃,肾",人参,温,"甘,苦","脾,肺,心,肾"
108,吴茱萸 茯苓,吴茱萸,热,"辛,苦","肝,脾,胃,肾",茯苓,平,甘,"心,肺,脾,肾"
109,吴茱萸 花椒,吴茱萸,热,"辛,苦","肝,脾,胃,肾",花椒,温,辛,"脾,胃,肾"
110,吴茱萸 当归,吴茱萸,热,"辛,苦","肝,脾,胃,肾",当归,温,"甘,辛","肝,心,脾"
111,五味子 吴茱萸,五味子,温,"酸,甘","肺,心,肾",吴茱萸,热,"辛,苦","肝,脾,胃,肾"
112,桂枝 附子,桂枝,温,"辛,甘","心,肺,膀胱",附子,热,"辛,甘","心,肾,脾"
113,桂枝 干姜,桂枝,温,"辛,甘","心,肺,膀胱",干姜,热,辛,"脾,胃,肾,心,肺"
114,薤白 桂枝,薤白,温,"辛,苦","心,肺,胃,大肠",桂枝,温,"辛,甘","心,肺,膀胱"
115,黄芪 桂枝,黄芪,温,甘,"肺,脾",桂枝,温,"辛,甘","心,肺,膀胱"
116,麻黄 附子,麻黄,温,"辛,苦","肺,膀胱",附子,热,"辛,甘","心,肾,脾"
117,细辛 吴茱萸,细辛,温,辛,"心,肺,肾",吴茱萸,热,"辛,苦","肝,脾,胃,肾"
118,小茴香 花椒,小茴香,温,辛,"肝,肾,脾,胃",花椒,温,辛,"脾,胃,肾"
119,细辛 附子,细辛,温,辛,"心,肺,肾",附子,热,"辛,甘","心,肾,脾"
120,小茴香 肉桂,小茴香,温,辛,"肝,肾,脾,胃",肉桂,热,"辛,甘","肾,脾,心,肝"
