药对索引,药对,中药1_中药材名称,中药1_性,中药1_味,中药1_归经,中药2_中药材名称,中药2_性,中药2_味,中药2_归经
134,栀子 黄芩,栀子,寒,苦,"心,肺,三焦",黄芩,寒,苦,"肺,胆,脾,大肠,小肠"
135,黄柏 知母,黄柏,寒,苦,"肾,膀胱",知母,寒,"苦,甘","肺,胃,肾"
136,黄连 升麻,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",升麻,寒,"辛,甘","肺,脾,胃,大肠"
137,白茅根 芦根,白茅根,寒,甘,"肺,胃,膀胱",芦根,寒,甘,"肺,胃"
138,栀子 龙胆,栀子,寒,苦,"心,肺,三焦",龙胆,寒,苦,"肝,胆"
139,龙胆 黄连,龙胆,寒,苦,"肝,胆",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
140,龙胆 苦参,龙胆,寒,苦,"肝,胆",苦参,寒,苦,"心,肝,胃,大肠,膀胱"
141,木通 连翘,木通,寒,苦,"心,小肠,膀胱",连翘,寒,苦,"肺,心,小肠"
142,木通 黄连,木通,寒,苦,"心,小肠,膀胱",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
143,黄连 黄柏,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",黄柏,寒,苦,"肾,膀胱"
144,栀子 大黄,栀子,寒,苦,"心,肺,三焦",大黄,寒,苦,"脾,胃,大肠,肝,心包"
145,栀子 黄连,栀子,寒,苦,"心,肺,三焦",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
146,黄芩 黄连,黄芩,寒,苦,"肺,胆,脾,大肠,小肠",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
147,黄连 胡黄连,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",胡黄连,寒,苦,"肝,胃,大肠"
148,夏枯草 金银花,夏枯草,寒,"辛,苦","肝,胆",金银花,寒,甘,"肺,心,胃"
149,蒲公英 金银花,蒲公英,寒,"苦,甘","肝,胃",金银花,寒,甘,"肺,心,胃"
150,金银花 甘草,金银花,寒,甘,"肺,心,胃",甘草,平,甘,"心,肺,脾,胃"
151,甘草 板蓝根,甘草,平,甘,"心,肺,脾,胃",板蓝根,寒,苦,"心,胃"
152,紫草 板蓝根,紫草,寒,"甘,咸","心,肝",板蓝根,寒,苦,"心,胃"
153,紫花地丁 菊花,紫花地丁,寒,"苦,辛","心,肝",菊花,寒,"甘,苦","肺,肝"
154,升麻 射干,升麻,寒,"辛,甘","肺,脾,胃,大肠",射干,寒,苦,肺
155,菊花 甘草,菊花,寒,"甘,苦","肺,肝",甘草,平,甘,"心,肺,脾,胃"
156,大黄 白芷,大黄,寒,苦,"脾,胃,大肠,肝,心包",白芷,温,辛,"胃,大肠,肺"
157,金银花 大黄,金银花,寒,甘,"肺,心,胃",大黄,寒,苦,"脾,胃,大肠,肝,心包"
158,黄连 大青叶,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",大青叶,寒,苦,"心,胃"
159,夏枯草 甘草,夏枯草,寒,"辛,苦","肝,胆",甘草,平,甘,"心,肺,脾,胃"
160,升麻 黄芩,升麻,寒,"辛,甘","肺,脾,胃,大肠",黄芩,寒,苦,"肺,胆,脾,大肠,小肠"
161,黄芩 大黄,黄芩,寒,苦,"肺,胆,脾,大肠,小肠",大黄,寒,苦,"脾,胃,大肠,肝,心包"
162,玄参 麦冬,玄参,寒,"甘,苦,咸","胃,肺,肾",麦冬,寒,"甘,苦","心,肺,胃"
163,玄参 石斛,玄参,寒,"甘,苦,咸","胃,肺,肾",石斛,寒,甘,"胃,肾"
164,玄参 生地黄,玄参,寒,"甘,苦,咸","胃,肺,肾",生地黄,寒,甘,"心,肝,肾"
165,生地黄 大青叶,生地黄,寒,甘,"心,肝,肾",大青叶,寒,苦,"心,胃"
166,生地黄 地骨皮,生地黄,寒,甘,"心,肝,肾",地骨皮,寒,甘,"肺,肝,肾"
167,麦冬 黄连,麦冬,寒,"甘,苦","心,肺,胃",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
168,生地黄 黄连,生地黄,寒,甘,"心,肝,肾",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
169,紫草 钩藤,紫草,寒,"甘,咸","心,肝",钩藤,凉,甘,"肝,心包"
170,黄柏 苍术,黄柏,寒,苦,"肾,膀胱",苍术,温,"辛,苦","脾,胃,肝"
171,黄柏 独活,黄柏,寒,苦,"肾,膀胱",独活,温,"辛,苦","肾,膀胱"
172,黄连 厚朴,黄连,寒,苦,"心,脾,胃,肝,胆,大肠",厚朴,温,"苦,辛","脾,胃,肺,大肠"
173,地榆 苍术,地榆,寒,"苦,酸","肝,大肠",苍术,温,"辛,苦","脾,胃,肝"
174,苦参 黄连,苦参,寒,苦,"心,肝,胃,大肠,膀胱",黄连,寒,苦,"心,脾,胃,肝,胆,大肠"
175,苦参 黄柏,苦参,寒,苦,"心,肝,胃,大肠,膀胱",黄柏,寒,苦,"肾,膀胱"
