Model,FPR,TPR
HCGCN,0.904522613,0.9875
HCGCN,0.909547739,0.9875
HCGCN,0.914572864,0.9875
HCGCN,0.91959799,0.9875
HCGCN,0.924623116,0.9875
HCGCN,0.929648241,0.9875
HCGCN,0.934673367,0.9875
HCGCN,0.939698492,0.9875
HCGCN,0.944723618,0.9875
HCGCN,0.949748744,0.9875
HCGCN,0.954773869,0.9875
HCGCN,0.959798995,0.9875
HCGCN,0.964824121,0.9875
HCGCN,0.969849246,0.9875
HCGCN,0.974874372,0.9875
HCGCN,0.979899497,0.9875
HCGCN,0.984924623,0.9875
HCGCN,0.989949749,0.9875
HCGCN,0.994974874,0.9875
HCGCN,1,1
