Model,Fold,Epoch,Train_Loss,Test_Loss,TPR,FPR
KNN,1,500,0.2495,0.3494,0.8095,0.2000
SVM,1,500,0.3755,0.4701,0.6190,0.2667
XGBoost,2,10,0.6944,0.6730,1.0000,1.0000
XGBoost,2,20,0.6943,0.6733,1.0000,1.0000
XGBoost,2,30,0.6928,0.6837,1.0000,1.0000
XGBoost,2,40,0.6928,0.6853,1.0000,1.0000
XGBoost,2,50,0.6928,0.6850,1.0000,1.0000
XGBoost,2,60,0.6970,0.7129,0.0000,0.0000
XGBoost,2,70,0.6928,0.6880,1.0000,1.0000
XGBoost,2,80,0.6928,0.6888,1.0000,1.0000
XGBoost,2,90,0.6928,0.6875,1.0000,1.0000
XGBoost,2,100,0.6928,0.6880,1.0000,1.0000
XGBoost,2,110,0.6930,0.6917,1.0000,1.0000
XGBoost,2,120,0.6936,0.6966,0.0000,0.0000
XGBoost,2,130,0.6933,0.6780,1.0000,1.0000
XGBoost,2,140,0.6928,0.6881,1.0000,1.0000
XGBoost,2,150,0.6928,0.6893,1.0000,1.0000
XGBoost,2,160,0.6931,0.6926,1.0000,1.0000
XGBoost,2,170,0.6928,0.6837,1.0000,1.0000
XGBoost,2,180,0.6937,0.6756,1.0000,1.0000
XGBoost,2,190,0.6928,0.6893,1.0000,1.0000
XGBoost,2,200,0.6929,0.6822,1.0000,1.0000
XGBoost,2,210,0.6931,0.6930,1.0000,1.0000
XGBoost,2,220,0.6936,0.6969,0.0000,0.0000
XGBoost,2,230,0.6929,0.6899,1.0000,1.0000
XGBoost,2,240,0.6929,0.6812,1.0000,1.0000
XGBoost,2,250,0.6935,0.6962,0.0000,0.0000
XGBoost,2,260,0.6928,0.6864,1.0000,1.0000
XGBoost,2,270,0.6930,0.6914,1.0000,1.0000
XGBoost,2,280,0.6929,0.6907,1.0000,1.0000
XGBoost,2,290,0.6944,0.6729,1.0000,1.0000
XGBoost,2,300,0.6928,0.6832,1.0000,1.0000
XGBoost,2,310,0.6928,0.6869,1.0000,1.0000
XGBoost,2,320,0.6928,0.6882,1.0000,1.0000
XGBoost,2,330,0.6928,0.6828,1.0000,1.0000
XGBoost,2,340,0.6928,0.6866,1.0000,1.0000
XGBoost,2,350,0.6928,0.6852,1.0000,1.0000
XGBoost,2,360,0.6928,0.6838,1.0000,1.0000
XGBoost,2,370,0.6932,0.6785,1.0000,1.0000
XGBoost,2,380,0.6931,0.6928,1.0000,1.0000
XGBoost,2,390,0.6929,0.6811,1.0000,1.0000
XGBoost,2,400,0.6928,0.6823,1.0000,1.0000
XGBoost,2,410,0.6931,0.6928,1.0000,1.0000
XGBoost,2,420,0.6932,0.6934,0.0000,0.0000
XGBoost,2,430,0.6928,0.6836,1.0000,1.0000
XGBoost,2,440,0.6935,0.6770,1.0000,1.0000
XGBoost,2,450,0.6933,0.6782,1.0000,1.0000
XGBoost,2,460,0.6938,0.6983,0.0000,0.0000
