26,6,0,90
5,2,1,24
27,4,1,90
2,6,3,21
28,5,1,98
2,4,1,15
26,3,0,89
4,6,1,25
25,6,0,91
2,6,1,23
26,6,1,89
5,2,1,24
27,4,1,90
2,6,1,23
28,5,1,98
2,4,1,15
24,5,0,89
4,6,1,25
25,6,0,91
3,5,1,23
31,1,0,90
2,5,3,22
30,1,0,91
2,6,4,20
31,2,0,99
1,5,0,16
28,1,0,89
7,3,3,23
29,2,0,91
2,6,1,23
26,6,0,90
5,2,1,24
27,4,1,90
2,6,2,22
28,5,1,98
2,4,1,15
26,3,0,89
4,6,1,25
25,6,0,91
3,5,1,23
26,6,0,90
4,3,1,24
27,4,1,90
2,6,1,23
28,5,1,98
2,4,1,15
26,3,0,89
4,6,1,25
25,6,0,91
3,5,1,23
57,1,0,64
17,1,0,14
62,1,0,59
12,1,0,19
65,0,0,67
11,0,0,11
55,0,0,63
21,0,0,15
63,0,0,59
13,0,0,19
26,6,1,89
5,2,1,24
27,4,1,90
2,6,1,23
28,5,1,98
2,4,1,15
24,5,0,89
4,6,1,25
24,7,0,91
3,5,1,23
26,6,1,89
5,2,1,24
27,4,1,90
2,6,1,23
30,3,1,98
2,4,1,15
26,3,0,89
4,6,1,25
24,7,0,91
3,5,1,23
0,32,0,90
0,7,0,25
0,31,0,91
0,8,0,24
33,0,99,0
6,0,16,0
0,29,0,89
0,10,0,26
0,31,0,91
0,8,0,24
0,32,0,90
0,7,0,25
0,31,0,91
0,8,0,24
0,33,0,99
0,6,0,16
0,29,0,89
0,10,0,26
0,31,0,91
0,8,0,24
0,32,0,90
0,7,0,25
0,31,0,91
0,8,0,24
0,33,0,99
0,6,0,16
0,29,0,89
0,10,0,26
0,31,0,91
0,8,0,24
0,32,0,90
0,7,0,25
0,31,0,91
0,8,0,24
0,33,0,99
0,6,0,16
0,29,0,89
0,10,0,26
0,31,0,91
0,8,0,24
0,32,0,90
0,7,0,25
0,31,0,91
0,8,0,24
0,33,0,99
0,6,0,16
0,29,0,89
0,10,0,26
0,31,0,91
0,8,0,24
0,178,0,457
0,44,0,115
0,178,0,457
0,44,0,115
0,178,0,457
0,44,0,115
0,178,0,457
0,44,0,115
0,178,0,457
0,44,0,115
